,W10_b,W11_4,W11_1,W12_a,W13,W14_2,W7,W6_a,W5_a,G1_1,W2_1_b,W5_b,W6_b,W3_1_b,G3,G1_3,G1_2,W1_1,W2_1_a,W3_1_a,W1_2_b,W2_2_a,W2_2_b,W2_2_c,W3_2_a,W3_2_b,W3_2_c,W4_2_a,W4_2_b,W10_a,W9,W14_1,W15,G4_a,G2,W4_1_a,W12_b,G4_b,W11_3,W11_2,W1_2_a,W4_1_b,W8
2018-01-02 04:00:00,41057.148,47943.667,69325.570,63913.913,60042.093,52819.037,73012.335,54417.202,78314.147,174099.280,61111.998,11146.852,55054.056,60476.536,112961.936,97343.679,104937.930,99975.062,61693.939,62453.569,9635.826,9758.830,16213.774,9711.245,16337.405,9961.463,10023.464,16338.600,3341.514,65544.763,64110.087,66143.461,105332.977,189220.148,105670.665,99898.404,64045.059,109534.452,55477.463,77110.898,15777.053,77882.572,110703.876
2018-01-02 05:00:00,40395.369,47172.466,68201.422,62882.749,59074.115,51970.393,72191.383,53541.724,77039.834,176417.193,60128.696,10962.492,54167.098,59503.552,114480.799,98330.271,106429.253,98357.822,60701.488,61447.348,13372.464,13510.686,21605.978,13427.259,21767.452,13827.461,13903.303,21772.526,4938.565,64485.272,63075.937,65075.162,103607.635,192609.768,107060.006,98278.955,63011.054,110893.389,54583.675,75861.174,21035.953,76611.563,108907.731
2018-01-02 06:00:00,40967.726,48259.185,69641.844,64026.890,60025.466,53013.577,74860.999,54446.847,77787.924,169754.332,61107.363,11883.386,55004.502,60451.386,110209.484,94525.913,102141.362,98787.128,61708.123,62487.661,19459.880,19723.151,32592.335,19632.068,32834.979,20114.082,20233.188,32846.732,6820.840,65715.140,64233.259,66349.466,103918.611,183828.736,103072.282,98560.647,64161.565,106831.461,55425.523,77319.387,31729.239,76017.367,110077.280
2018-01-02 07:00:00,47506.562,55899.713,80323.697,74231.136,69805.423,61653.227,85963.404,63426.572,90240.975,208074.270,70897.631,13773.377,64087.465,70178.063,136603.191,114795.280,127505.656,115270.704,71591.853,72376.803,17460.472,17814.429,29166.629,17755.127,29323.998,18053.603,18134.651,29389.946,6468.760,76041.373,74469.961,76777.562,120672.410,242277.409,126734.950,114943.976,74361.202,128861.722,64566.742,89269.471,28447.731,88592.319,127983.277
2018-01-02 08:00:00,44136.532,51935.271,74520.775,68999.233,64895.966,57268.193,80127.762,58946.915,83758.356,249905.260,65902.369,12850.754,59564.903,65231.633,164857.949,137534.079,156070.997,107006.877,66546.165,67268.957,14289.001,14518.539,23569.431,14457.212,23725.657,14772.112,14839.655,23749.513,5463.982,70628.440,69212.593,71328.078,111830.616,320750.972,151612.780,106702.493,69108.023,151037.534,59990.208,82871.355,23056.564,82118.659,118862.641
2018-01-02 09:00:00,40105.706,45575.156,66993.912,61374.730,58145.056,50127.109,71521.293,53550.503,75787.528,224834.721,59150.723,11440.255,54173.173,57872.080,147045.532,115523.036,136115.690,97372.102,60034.253,60247.606,11062.518,11289.994,18243.086,11226.387,18370.279,11326.734,11366.701,18128.357,4206.517,62319.284,60682.574,63454.842,102169.822,280895.761,134972.481,96744.511,61498.248,134741.164,52604.554,74234.530,17835.669,73508.956,106776.206
2018-01-02 10:00:00,30018.102,28757.151,47343.318,41314.381,40648.654,31288.660,47625.709,38136.979,53656.487,166807.203,41635.384,7677.670,38782.617,39275.179,103488.910,67954.170,86926.460,72753.945,43300.094,42146.848,4299.559,4512.459,7209.633,4464.952,7276.898,4476.303,4478.839,7118.377,1456.016,40169.917,38058.870,42697.275,77101.659,209447.199,93578.303,69369.267,41474.509,93783.625,33139.875,51638.024,6985.557,50261.184,74827.052
2018-01-02 11:00:00,18677.866,16382.259,28337.759,24151.294,24056.524,17662.622,27215.760,21917.191,32082.404,97516.146,24650.027,4286.655,22453.333,23726.830,56421.480,28038.224,38323.509,45457.202,26032.865,24821.620,25.337,135.267,84.403,128.239,74.378,257.209,245.566,247.945,0.000,23331.204,21698.818,25032.205,49134.399,128800.520,48832.514,41590.597,24303.813,48793.998,18987.570,30786.783,40.099,30555.445,45417.600
2018-01-02 12:00:00,14997.023,14406.217,24063.840,20866.991,20432.722,15588.241,24253.251,18430.037,27926.857,78214.542,20728.946,3811.099,18861.180,20411.696,46859.539,27403.304,32942.213,36925.941,21550.086,20697.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20491.359,19240.043,21662.311,40254.643,101398.941,40792.857,34899.328,20979.332,42056.383,16788.390,26456.143,0.000,27291.563,39749.301
2018-01-02 13:00:00,12838.483,13185.605,21254.377,18700.130,18054.569,14333.536,22423.621,16290.720,25178.142,70755.493,18167.026,3542.172,16657.755,17676.938,44173.401,31219.188,33259.696,31920.034,18739.657,17929.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18661.990,17718.051,19419.511,35137.372,88073.941,39065.287,30188.473,18766.789,41383.511,15398.144,23493.695,0.000,24942.528,35976.628
2018-01-02 14:00:00,9235.762,10715.947,16479.769,14761.304,13822.873,11714.865,18400.171,11819.049,20436.388,32090.081,13563.057,2890.496,12193.595,12387.648,21978.697,16121.554,17674.692,23767.582,13790.541,12495.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15271.051,14714.631,15391.238,27471.507,43050.403,19393.111,21116.669,14811.862,21337.336,12692.698,18522.737,0.000,21389.080,29967.170
2018-01-02 15:00:00,12450.632,13905.482,21262.320,19131.018,18149.042,15216.028,23012.984,16014.679,24841.046,59100.926,18188.999,3695.119,16314.032,17324.417,38148.845,25145.803,31221.202,31052.397,18527.587,17752.522,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,173.157,19445.272,18737.305,19863.883,34344.111,67805.719,34561.365,29130.842,19165.999,38147.815,16237.081,23648.763,0.000,24875.310,36125.239
2018-01-02 16:00:00,14063.168,14931.089,23569.891,20729.159,20021.878,16334.169,26169.649,17863.408,27940.001,80403.261,20027.008,4419.388,18206.233,19151.667,51088.368,32560.686,42040.300,35330.828,20622.196,19652.035,0.000,14.588,0.000,13.034,0.000,178.966,170.030,0.000,397.301,20764.485,19982.325,21497.348,39349.215,91036.963,46562.001,32273.143,20762.526,49669.438,17352.863,26034.809,0.000,26960.681,40829.586
2018-01-02 17:00:00,13983.907,14111.709,23377.332,20405.312,19891.821,15316.585,26247.392,17685.725,27707.148,92995.497,19765.871,4448.976,18049.586,18524.746,59285.630,39334.354,49419.351,35005.726,20475.020,18827.636,0.000,12.603,0.000,11.831,0.000,111.148,104.265,0.000,381.643,20062.570,18882.120,21197.357,38831.101,106119.673,54116.773,31570.157,20433.001,57460.741,16458.638,25799.475,0.000,26615.904,40144.539
2018-01-02 18:00:00,14481.066,14845.215,24214.077,21270.248,20663.218,16108.105,27165.689,18414.599,28538.221,104312.949,20571.472,4594.020,18773.912,19385.934,66741.980,49657.481,56628.829,36100.943,21259.067,19736.234,1732.622,1844.141,2765.324,1832.477,2777.243,2007.247,2011.956,3042.099,961.370,20993.583,19838.482,22080.979,39792.428,120058.121,61048.312,32852.359,21299.506,64309.621,17312.020,26738.122,2620.251,27433.214,41290.994
2018-01-02 19:00:00,14502.503,15190.615,24225.264,21409.959,20735.466,16542.200,27258.782,18513.324,28429.380,113184.954,20675.892,4618.242,18856.175,19673.620,72565.770,57238.955,62580.012,36025.872,21334.078,20078.645,4442.889,4609.513,7331.406,4584.459,7358.538,4860.292,4881.379,7685.057,1856.110,21288.307,20281.124,22204.467,39458.339,131253.326,66524.938,33068.280,21440.341,69775.018,17675.012,26762.694,7026.728,27304.970,41174.001
2018-01-02 20:00:00,12125.916,13416.945,20290.490,18368.606,17508.426,14702.094,22690.550,15765.164,23308.955,115127.273,17679.286,3776.994,15992.624,17135.779,73894.092,58340.606,64042.438,29720.986,18029.438,17577.649,4208.012,4365.882,6935.648,4342.335,6967.370,4600.673,4620.132,7268.295,1765.839,18535.544,17909.091,19023.364,31768.513,132912.679,67837.140,28465.738,18394.643,71082.905,15562.373,22489.936,6651.048,22909.938,33424.172
2018-01-02 21:00:00,11639.554,12908.301,19472.965,17648.694,16820.509,14148.535,21890.316,15153.192,22343.681,68470.661,16982.668,3691.197,15368.270,16468.336,42861.124,32735.136,34360.943,28496.484,17316.209,16890.919,4038.397,4188.467,6648.581,4166.042,6678.972,4409.651,4428.043,6961.961,1699.132,17810.125,17219.577,18273.874,30406.096,65558.143,39656.398,27303.612,17672.996,43551.312,14966.172,21585.160,6379.976,21923.437,32049.491
2018-01-02 22:00:00,11906.335,12895.031,19834.245,17777.526,17152.117,14139.854,22633.471,15411.297,23007.066,11403.265,17132.941,3954.714,15600.281,16484.518,5819.423,4263.732,1539.370,29258.729,17636.049,16854.155,3974.274,4118.335,6540.529,4096.488,6570.897,4328.857,4346.853,6837.189,1670.062,17861.302,17195.230,18402.665,31735.010,0.000,5745.012,27413.617,17799.526,9483.886,14944.824,21989.080,6282.464,22093.877,33579.860
2018-01-02 23:00:00,12644.842,13588.457,21138.721,18961.330,18241.839,14826.916,23462.121,16352.598,24541.154,19737.471,18295.351,3862.651,16630.217,17546.855,11067.552,6648.880,4313.406,31154.033,18753.621,17924.558,1733.171,1836.858,2750.385,1817.338,2767.781,1993.348,1995.713,3017.438,1037.326,18928.636,18142.566,19630.519,33601.221,915.171,10683.925,29212.638,18992.107,14815.389,15808.933,23450.207,2618.776,23711.328,35250.675
2018-01-03 00:00:00,24178.959,27201.679,40779.350,36977.003,35045.821,29856.471,43140.788,31635.295,46639.135,25885.593,35452.614,6703.944,32110.138,34648.798,15156.047,9788.225,8101.667,59330.253,36034.240,35652.518,3713.085,3886.986,6094.309,3859.088,6118.097,4135.205,4144.031,6426.916,1656.544,37558.304,36363.419,38334.696,63568.152,4017.057,14480.670,57825.821,37070.057,18514.711,31553.514,45263.694,5811.617,46061.201,66208.235
2018-01-03 01:00:00,28432.996,32193.011,47954.262,43656.890,41300.103,35329.504,50587.246,37253.895,54796.365,30306.765,41835.664,7809.998,37804.522,40975.909,18119.277,12229.423,11068.900,69749.074,42447.980,42203.682,4779.891,4960.213,7892.060,4927.722,7930.955,5220.137,5236.480,8221.453,2014.041,44436.818,43109.346,45226.922,74570.146,7396.506,17234.910,68351.961,43760.537,21229.490,37345.895,53262.925,7561.985,54269.690,77702.525
2018-01-03 02:00:00,28258.907,32048.100,47660.314,43419.230,41060.203,35178.019,50272.039,37047.198,54427.347,36221.385,41603.620,7756.435,37589.085,40770.934,22024.072,15447.316,14971.752,69293.607,42202.442,41998.382,4842.481,5017.049,7998.483,4984.846,8039.158,5267.890,5285.161,8312.687,2019.968,44213.015,42911.720,44978.327,74021.176,15000.011,20889.812,67972.139,43522.217,24966.784,37172.434,52941.001,7673.915,53917.397,77167.178
2018-01-03 03:00:00,28559.653,32451.565,48168.013,43915.780,41510.652,35629.403,50789.093,37465.628,54970.151,43262.985,42073.350,7828.756,38007.289,41258.696,26684.085,19126.294,19418.354,69995.803,42665.388,42508.628,5011.141,5181.794,8284.578,5149.323,8328.351,5426.462,5445.298,8585.997,2063.873,44741.822,43447.669,45489.854,74708.367,24002.405,25237.440,68747.061,44019.560,29252.673,37634.753,53509.978,7960.013,54476.732,77918.864
2018-01-03 04:00:00,29217.776,33268.297,49286.818,44971.089,42486.194,36535.342,51941.160,38356.026,56209.536,50889.263,43076.211,7996.761,38904.063,42272.578,31720.601,23183.124,24359.794,71583.812,43667.273,43562.796,7132.976,7327.042,11892.960,7283.667,11966.229,7605.177,7638.328,12207.588,2744.837,45843.738,44541.664,46580.529,76345.838,33705.859,29914.857,70406.363,45077.125,33861.499,38576.946,54758.804,11479.718,55731.348,79650.054
2018-01-03 05:00:00,29016.604,33083.881,48946.255,44686.553,42205.993,36339.107,51591.047,38111.940,55791.433,57200.061,42799.884,7941.909,38651.245,42019.363,35908.219,26663.805,28549.928,71062.629,43378.502,43305.831,10652.948,10885.523,17796.486,10825.692,17921.534,11248.683,11288.546,18169.489,4098.321,45567.060,44289.437,46283.009,75733.145,41721.295,33800.728,69945.488,44791.191,37673.830,38357.959,54383.711,17231.419,55319.928,79050.866
2018-01-03 06:00:00,25809.764,28744.482,42545.162,38824.781,37074.140,31408.573,46737.503,33620.905,48577.039,63947.642,37155.539,7511.952,34073.416,36337.166,40365.411,30364.988,33013.850,62283.863,37813.844,37504.976,15979.134,16365.686,26566.912,16277.058,26735.838,16915.065,16987.091,27180.970,6125.878,39429.433,38325.962,40154.556,66617.456,50462.211,37940.158,62043.489,38891.236,41755.059,33157.535,47328.065,25723.905,48957.212,69521.029
2018-01-03 07:00:00,32505.761,37066.612,54936.450,50094.852,47475.489,40718.197,59637.364,42947.833,62531.874,117465.107,47896.682,9709.133,43521.939,46830.844,76003.886,58391.963,67492.326,79522.818,48643.490,48147.500,13495.829,13841.755,22372.333,13766.655,22513.306,14326.258,14390.912,22928.572,5282.698,50862.708,49400.975,51900.504,84646.784,126790.080,70445.035,77428.071,50192.704,73514.151,42895.206,60967.388,21652.734,60806.284,89026.285
2018-01-03 08:00:00,30100.996,34285.168,50773.567,46385.672,43999.128,37647.520,55333.919,39782.367,57806.022,180547.882,44377.123,9059.097,40318.542,43371.199,117470.845,89775.426,107720.789,73531.038,45075.507,44569.847,10204.802,10499.716,16795.570,10440.994,16889.855,10904.303,10945.304,17274.379,4185.154,47041.597,45711.838,47996.576,78104.148,218492.741,108385.961,71555.516,46464.291,110523.180,39692.908,56360.271,16227.891,56078.868,82392.026
2018-01-03 09:00:00,28221.759,31039.070,47160.581,42605.677,40701.477,33983.118,50745.749,37326.372,54100.508,159321.653,41103.571,8319.563,37872.433,39688.632,102865.989,72971.475,92016.505,69110.020,41963.074,41195.224,7692.170,7946.765,12663.764,7893.284,12735.257,8173.576,8197.760,12897.059,3173.401,42870.517,41373.634,44100.547,73805.220,192451.890,94464.782,67054.107,42700.386,96206.429,35917.535,52169.747,12213.505,51929.544,76515.513
